No,shipment_order_no,logistic_name,origin_postal_code,destination_postal_code,awb_number,min_sla_api,max_sla_api,requestPayload,responsePayload
1,TRD2022120103517,SAP Logistic,15811,31311,,3,7,"{""destinationLatitude"":0,""destinationLongitude"":0,""isCod"":false,""isUseInsurance"":false,""itemPrice"":500145,""logisticCode"":[""SAP""],""originLatitude"":0,""originLongitude"":0,""originPostalCode"":""15811"",""destinationPostalCode"":""31311"",""packageTypeId"":1,""serviceType"":[],""shipmentType"":2,""weight"":1000,""width"":5,""height"":2,""length"":2}","{""cargo"":[{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/sap-express.png"",""logisticName"":""SAP Logistic"",""maxDuration"":10,""minDuration"":6,""price"":145000,""rateCode"":""DRGREG"",""rateName"":""Kargo Darat"",""signedKey"":""be69b47c5704422a6ff5068ae1b560d0"",""volumeWeight"":1000,""weight"":1000}],""express"":[],""instant"":[],""reguler"":[{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/sap-express.png"",""logisticName"":""SAP Logistic"",""maxDuration"":7,""minDuration"":3,""price"":41000,""rateCode"":""UDRREG"",""rateName"":""Regular"",""signedKey"":""102b6633e4d5dc994de6b37d57e45e5b"",""volumeWeight"":1000,""weight"":1000}],""sameDay"":[]}"
2,TRD2022120103522,SAP Logistic,15811,26566,,3,7,"{""destinationLatitude"":0,""destinationLongitude"":0,""isCod"":false,""isUseInsurance"":false,""itemPrice"":500145,""logisticCode"":[""SAP""],""originLatitude"":0,""originLongitude"":0,""originPostalCode"":""15811"",""destinationPostalCode"":""26566"",""packageTypeId"":1,""serviceType"":[],""shipmentType"":2,""weight"":1000,""width"":5,""height"":2,""length"":2}","{""cargo"":[{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/sap-express.png"",""logisticName"":""SAP Logistic"",""maxDuration"":10,""minDuration"":6,""price"":160000,""rateCode"":""DRGREG"",""rateName"":""Kargo Darat"",""signedKey"":""8c6d63842dca6784218a37388836d6f5"",""volumeWeight"":1000,""weight"":1000}],""express"":[],""instant"":[],""reguler"":[{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/sap-express.png"",""logisticName"":""SAP Logistic"",""maxDuration"":7,""minDuration"":3,""price"":54000,""rateCode"":""UDRREG"",""rateName"":""Regular"",""signedKey"":""cb27edf0dac8712afb7cdd193474b322"",""volumeWeight"":1000,""weight"":1000}],""sameDay"":[]}"
3,TRD2022120103529,SAP Logistic,15811,29431,,3,5,"{""destinationLatitude"":0,""destinationLongitude"":0,""isCod"":false,""isUseInsurance"":false,""itemPrice"":500145,""logisticCode"":[""SAP""],""originLatitude"":0,""originLongitude"":0,""originPostalCode"":""15811"",""destinationPostalCode"":""29431"",""packageTypeId"":1,""serviceType"":[],""shipmentType"":2,""weight"":1000,""width"":5,""height"":2,""length"":2}","{""cargo"":[{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/sap-express.png"",""logisticName"":""SAP Logistic"",""maxDuration"":8,""minDuration"":6,""price"":205000,""rateCode"":""DRGREG"",""rateName"":""Kargo Darat"",""signedKey"":""6a327e0f7d04a4286de2f979e08f423a"",""volumeWeight"":1000,""weight"":1000}],""express"":[],""instant"":[],""reguler"":[{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/sap-express.png"",""logisticName"":""SAP Logistic"",""maxDuration"":5,""minDuration"":3,""price"":37000,""rateCode"":""UDRREG"",""rateName"":""Regular"",""signedKey"":""562591f13dab98b48efb008fec5b988c"",""volumeWeight"":1000,""weight"":1000}],""sameDay"":[]}"
4,TRD2022120103484,SAP Logistic,15811,34167,,3,7,"{""destinationLatitude"":0,""destinationLongitude"":0,""isCod"":false,""isUseInsurance"":false,""itemPrice"":500145,""logisticCode"":[""SAP""],""originLatitude"":0,""originLongitude"":0,""originPostalCode"":""15811"",""destinationPostalCode"":""34167"",""packageTypeId"":1,""serviceType"":[],""shipmentType"":2,""weight"":1000,""width"":5,""height"":2,""length"":2}","{""cargo"":[{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/sap-express.png"",""logisticName"":""SAP Logistic"",""maxDuration"":10,""minDuration"":6,""price"":120000,""rateCode"":""DRGREG"",""rateName"":""Kargo Darat"",""signedKey"":""267d331f9a7d67d551829d7058606d8a"",""volumeWeight"":1000,""weight"":1000}],""express"":[],""instant"":[],""reguler"":[{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/sap-express.png"",""logisticName"":""SAP Logistic"",""maxDuration"":7,""minDuration"":3,""price"":44000,""rateCode"":""UDRREG"",""rateName"":""Regular"",""signedKey"":""b258d130ad5930a7acd0f2d4d8e7b68b"",""volumeWeight"":1000,""weight"":1000}],""sameDay"":[]}"
5,TRD2022120103510,SAP Logistic,15811,28686,,3,7,"{""destinationLatitude"":0,""destinationLongitude"":0,""isCod"":false,""isUseInsurance"":false,""itemPrice"":500145,""logisticCode"":[""SAP""],""originLatitude"":0,""originLongitude"":0,""originPostalCode"":""15811"",""destinationPostalCode"":""28686"",""packageTypeId"":1,""serviceType"":[],""shipmentType"":2,""weight"":1000,""width"":5,""height"":2,""length"":2}","{""cargo"":[{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/sap-express.png"",""logisticName"":""SAP Logistic"",""maxDuration"":10,""minDuration"":6,""price"":145000,""rateCode"":""DRGREG"",""rateName"":""Kargo Darat"",""signedKey"":""0eaf7f1cb34fcfe5c734eea79baf72dd"",""volumeWeight"":1000,""weight"":1000}],""express"":[],""instant"":[],""reguler"":[{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/sap-express.png"",""logisticName"":""SAP Logistic"",""maxDuration"":7,""minDuration"":3,""price"":50000,""rateCode"":""UDRREG"",""rateName"":""Regular"",""signedKey"":""f1bb732afad53775b9f91baf98a35be7"",""volumeWeight"":1000,""weight"":1000}],""sameDay"":[]}"
6,TRD2022120103492,SAP Logistic,15811,28554,,3,7,"{""destinationLatitude"":0,""destinationLongitude"":0,""isCod"":false,""isUseInsurance"":false,""itemPrice"":500145,""logisticCode"":[""SAP""],""originLatitude"":0,""originLongitude"":0,""originPostalCode"":""15811"",""destinationPostalCode"":""28554"",""packageTypeId"":1,""serviceType"":[],""shipmentType"":2,""weight"":1000,""width"":5,""height"":2,""length"":2}","{""cargo"":[{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/sap-express.png"",""logisticName"":""SAP Logistic"",""maxDuration"":10,""minDuration"":6,""price"":150000,""rateCode"":""DRGREG"",""rateName"":""Kargo Darat"",""signedKey"":""34d69ca84e3ae41ab8843a3a2e145ff5"",""volumeWeight"":1000,""weight"":1000}],""express"":[],""instant"":[],""reguler"":[{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/sap-express.png"",""logisticName"":""SAP Logistic"",""maxDuration"":7,""minDuration"":3,""price"":55000,""rateCode"":""UDRREG"",""rateName"":""Regular"",""signedKey"":""603f420238074dd779891710264ece50"",""volumeWeight"":1000,""weight"":1000}],""sameDay"":[]}"
7,TRD2022120103489,SAP Logistic,15811,55281,,2,5,"{""destinationLatitude"":0,""destinationLongitude"":0,""isCod"":false,""isUseInsurance"":false,""itemPrice"":500145,""logisticCode"":[""SAP""],""originLatitude"":0,""originLongitude"":0,""originPostalCode"":""15811"",""destinationPostalCode"":""55281"",""packageTypeId"":1,""serviceType"":[],""shipmentType"":2,""weight"":1000,""width"":5,""height"":2,""length"":2}","{""cargo"":[{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/sap-express.png"",""logisticName"":""SAP Logistic"",""maxDuration"":7,""minDuration"":4,""price"":52500,""rateCode"":""DRGREG"",""rateName"":""Kargo Darat"",""signedKey"":""0cfb68b9ef3d1a4c71a83323573f74be"",""volumeWeight"":1000,""weight"":1000}],""express"":[],""instant"":[],""reguler"":[{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/sap-express.png"",""logisticName"":""SAP Logistic"",""maxDuration"":5,""minDuration"":2,""price"":25000,""rateCode"":""UDRREG"",""rateName"":""Regular"",""signedKey"":""a32f41d7b34896bd5d253e1799d58a45"",""volumeWeight"":1000,""weight"":1000}],""sameDay"":[]}"
8,TRD2022120103526,SAP Logistic,15811,80351,,3,7,"{""destinationLatitude"":0,""destinationLongitude"":0,""isCod"":false,""isUseInsurance"":false,""itemPrice"":500145,""logisticCode"":[""SAP""],""originLatitude"":0,""originLongitude"":0,""originPostalCode"":""15811"",""destinationPostalCode"":""80351"",""packageTypeId"":1,""serviceType"":[],""shipmentType"":2,""weight"":1000,""width"":5,""height"":2,""length"":2}","{""cargo"":[{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/sap-express.png"",""logisticName"":""SAP Logistic"",""maxDuration"":13,""minDuration"":9,""price"":65000,""rateCode"":""DRGREG"",""rateName"":""Kargo Darat"",""signedKey"":""abfa094ddab7bb75e886c059c529227b"",""volumeWeight"":1000,""weight"":1000}],""express"":[{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/sap-express.png"",""logisticName"":""SAP Logistic"",""maxDuration"":2,""minDuration"":1,""price"":44000,""rateCode"":""UDRONS"",""rateName"":""ODS"",""signedKey"":""98e4452eef9c1a18a4971c08a894e8ec"",""volumeWeight"":1000,""weight"":1000}],""instant"":[],""reguler"":[{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/sap-express.png"",""logisticName"":""SAP Logistic"",""maxDuration"":7,""minDuration"":3,""price"":33000,""rateCode"":""UDRREG"",""rateName"":""Regular"",""signedKey"":""8c45087d3ff9c81595e2960e7ff40982"",""volumeWeight"":1000,""weight"":1000}],""sameDay"":[]}"
9,TRD2022120103486,SAP Logistic,15811,41373,,2,5,"{""destinationLatitude"":0,""destinationLongitude"":0,""isCod"":false,""isUseInsurance"":false,""itemPrice"":500145,""logisticCode"":[""SAP""],""originLatitude"":0,""originLongitude"":0,""originPostalCode"":""15811"",""destinationPostalCode"":""41373"",""packageTypeId"":1,""serviceType"":[],""shipmentType"":2,""weight"":1000,""width"":5,""height"":2,""length"":2}","{""cargo"":[{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/sap-express.png"",""logisticName"":""SAP Logistic"",""maxDuration"":7,""minDuration"":4,""price"":35000,""rateCode"":""DRGREG"",""rateName"":""Kargo Darat"",""signedKey"":""948ef7f637bcdf357ebcf21d10af4cbd"",""volumeWeight"":1000,""weight"":1000}],""express"":[{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/sap-express.png"",""logisticName"":""SAP Logistic"",""maxDuration"":2,""minDuration"":1,""price"":18000,""rateCode"":""UDRONS"",""rateName"":""ODS"",""signedKey"":""ccf4e034fe2733c7533fe1abd2dbdfa5"",""volumeWeight"":1000,""weight"":1000}],""instant"":[],""reguler"":[{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/sap-express.png"",""logisticName"":""SAP Logistic"",""maxDuration"":5,""minDuration"":2,""price"":14000,""rateCode"":""UDRREG"",""rateName"":""Regular"",""signedKey"":""d4e6ffe2e9e33d5e57153014cbc06647"",""volumeWeight"":1000,""weight"":1000}],""sameDay"":[]}"
10,TRD2022120103493,SAP Logistic,15811,40559,,2,5,"{""destinationLatitude"":0,""destinationLongitude"":0,""isCod"":false,""isUseInsurance"":false,""itemPrice"":500145,""logisticCode"":[""SAP""],""originLatitude"":0,""originLongitude"":0,""originPostalCode"":""15811"",""destinationPostalCode"":""40559"",""packageTypeId"":1,""serviceType"":[],""shipmentType"":2,""weight"":1000,""width"":5,""height"":2,""length"":2}","{""cargo"":[{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/sap-express.png"",""logisticName"":""SAP Logistic"",""maxDuration"":7,""minDuration"":4,""price"":37500,""rateCode"":""DRGREG"",""rateName"":""Kargo Darat"",""signedKey"":""41205900b3785b410861d518bfcabd4a"",""volumeWeight"":1000,""weight"":1000}],""express"":[{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/sap-express.png"",""logisticName"":""SAP Logistic"",""maxDuration"":2,""minDuration"":1,""price"":21000,""rateCode"":""UDRONS"",""rateName"":""ODS"",""signedKey"":""ec5615203a12127bbab5d2eb02532786"",""volumeWeight"":1000,""weight"":1000}],""instant"":[],""reguler"":[{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/sap-express.png"",""logisticName"":""SAP Logistic"",""maxDuration"":5,""minDuration"":2,""price"":13000,""rateCode"":""UDRREG"",""rateName"":""Regular"",""signedKey"":""af45197c44b1844ef7aade70293d6b19"",""volumeWeight"":1000,""weight"":1000}],""sameDay"":[]}"
11,TRD2022120103502,SAP Logistic,15811,40396,,2,5,"{""destinationLatitude"":0,""destinationLongitude"":0,""isCod"":false,""isUseInsurance"":false,""itemPrice"":500145,""logisticCode"":[""SAP""],""originLatitude"":0,""originLongitude"":0,""originPostalCode"":""15811"",""destinationPostalCode"":""40396"",""packageTypeId"":1,""serviceType"":[],""shipmentType"":2,""weight"":1000,""width"":5,""height"":2,""length"":2}","{""cargo"":[{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/sap-express.png"",""logisticName"":""SAP Logistic"",""maxDuration"":7,""minDuration"":4,""price"":37500,""rateCode"":""DRGREG"",""rateName"":""Kargo Darat"",""signedKey"":""97354c93840c79ae7c60a44f39f6af62"",""volumeWeight"":1000,""weight"":1000}],""express"":[{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/sap-express.png"",""logisticName"":""SAP Logistic"",""maxDuration"":2,""minDuration"":1,""price"":20000,""rateCode"":""UDRONS"",""rateName"":""ODS"",""signedKey"":""5d698ce2a883aee6e2c183cfcfee4799"",""volumeWeight"":1000,""weight"":1000}],""instant"":[],""reguler"":[{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/sap-express.png"",""logisticName"":""SAP Logistic"",""maxDuration"":5,""minDuration"":2,""price"":12000,""rateCode"":""UDRREG"",""rateName"":""Regular"",""signedKey"":""38c7a6406d8d330952ef6edca47e2edc"",""volumeWeight"":1000,""weight"":1000}],""sameDay"":[{""durationType"":1,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/sap-express.png"",""logisticName"":""SAP Logistic"",""maxDuration"":1,""minDuration"":0,""price"":53000,""rateCode"":""UDRSDS"",""rateName"":""Sameday"",""signedKey"":""fe3b891ed0cb61ef6cbd4417346a91ec"",""volumeWeight"":1000,""weight"":1000}]}"
12,TRD2022120103487,SAP Logistic,15811,60241,,2,4,"{""destinationLatitude"":0,""destinationLongitude"":0,""isCod"":false,""isUseInsurance"":false,""itemPrice"":500145,""logisticCode"":[""SAP""],""originLatitude"":0,""originLongitude"":0,""originPostalCode"":""15811"",""destinationPostalCode"":""60241"",""packageTypeId"":1,""serviceType"":[],""shipmentType"":2,""weight"":1000,""width"":5,""height"":2,""length"":2}","{""cargo"":[{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/sap-express.png"",""logisticName"":""SAP Logistic"",""maxDuration"":6,""minDuration"":4,""price"":50000,""rateCode"":""DRGREG"",""rateName"":""Kargo Darat"",""signedKey"":""1a4cc101612d416c333f4906354a15f0"",""volumeWeight"":1000,""weight"":1000}],""express"":[{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/sap-express.png"",""logisticName"":""SAP Logistic"",""maxDuration"":2,""minDuration"":1,""price"":32000,""rateCode"":""UDRONS"",""rateName"":""ODS"",""signedKey"":""a381bbec325add5b79463beee7e453f8"",""volumeWeight"":1000,""weight"":1000}],""instant"":[],""reguler"":[{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/sap-express.png"",""logisticName"":""SAP Logistic"",""maxDuration"":4,""minDuration"":2,""price"":21000,""rateCode"":""UDRREG"",""rateName"":""Regular"",""signedKey"":""cbb67604d353e3510511254b6cd0b990"",""volumeWeight"":1000,""weight"":1000}],""sameDay"":[{""durationType"":1,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/sap-express.png"",""logisticName"":""SAP Logistic"",""maxDuration"":1,""minDuration"":0,""price"":87000,""rateCode"":""UDRSDS"",""rateName"":""Sameday"",""signedKey"":""49e4b73ed42652f40adcb556be9f9c7a"",""volumeWeight"":1000,""weight"":1000}]}"
13,TRD2022120103520,SAP Logistic,15811,97721,,3,5,"{""destinationLatitude"":0,""destinationLongitude"":0,""isCod"":false,""isUseInsurance"":false,""itemPrice"":500145,""logisticCode"":[""SAP""],""originLatitude"":0,""originLongitude"":0,""originPostalCode"":""15811"",""destinationPostalCode"":""97721"",""packageTypeId"":1,""serviceType"":[],""shipmentType"":2,""weight"":1000,""width"":5,""height"":2,""length"":2}","{""cargo"":[{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/sap-express.png"",""logisticName"":""SAP Logistic"",""maxDuration"":22,""minDuration"":20,""price"":3700000,""rateCode"":""DRGREG"",""rateName"":""Kargo Darat"",""signedKey"":""8fd6c491b0597fbc277617bb96ea7a3b"",""volumeWeight"":1000,""weight"":1000}],""express"":[],""instant"":[],""reguler"":[{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/sap-express.png"",""logisticName"":""SAP Logistic"",""maxDuration"":5,""minDuration"":3,""price"":81000,""rateCode"":""UDRREG"",""rateName"":""Regular"",""signedKey"":""2d6f9bac6ad77d5775794e4eda34b8f7"",""volumeWeight"":1000,""weight"":1000}],""sameDay"":[]}"
14,TRD2022120103523,SAP Logistic,15811,92461,,3,7,"{""destinationLatitude"":0,""destinationLongitude"":0,""isCod"":false,""isUseInsurance"":false,""itemPrice"":500145,""logisticCode"":[""SAP""],""originLatitude"":0,""originLongitude"":0,""originPostalCode"":""15811"",""destinationPostalCode"":""92461"",""packageTypeId"":1,""serviceType"":[],""shipmentType"":2,""weight"":1000,""width"":5,""height"":2,""length"":2}","{""cargo"":[{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/sap-express.png"",""logisticName"":""SAP Logistic"",""maxDuration"":17,""minDuration"":13,""price"":615000,""rateCode"":""DRGREG"",""rateName"":""Kargo Darat"",""signedKey"":""0d4c40a580a435af1a1b7df0c9ad14cf"",""volumeWeight"":1000,""weight"":1000}],""express"":[],""instant"":[],""reguler"":[{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/sap-express.png"",""logisticName"":""SAP Logistic"",""maxDuration"":7,""minDuration"":3,""price"":70000,""rateCode"":""UDRREG"",""rateName"":""Regular"",""signedKey"":""db908faf2c7389820495e5768f310149"",""volumeWeight"":1000,""weight"":1000}],""sameDay"":[]}"
15,TRD2022120103505,SAP Logistic,15811,22654,,3,7,"{""destinationLatitude"":0,""destinationLongitude"":0,""isCod"":false,""isUseInsurance"":false,""itemPrice"":500145,""logisticCode"":[""SAP""],""originLatitude"":0,""originLongitude"":0,""originPostalCode"":""15811"",""destinationPostalCode"":""22654"",""packageTypeId"":1,""serviceType"":[],""shipmentType"":2,""weight"":1000,""width"":5,""height"":2,""length"":2}","{""cargo"":[{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/sap-express.png"",""logisticName"":""SAP Logistic"",""maxDuration"":10,""minDuration"":6,""price"":190000,""rateCode"":""DRGREG"",""rateName"":""Kargo Darat"",""signedKey"":""7c6302c426253415979996af6dcbaabe"",""volumeWeight"":1000,""weight"":1000}],""express"":[],""instant"":[],""reguler"":[{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/sap-express.png"",""logisticName"":""SAP Logistic"",""maxDuration"":7,""minDuration"":3,""price"":57000,""rateCode"":""UDRREG"",""rateName"":""Regular"",""signedKey"":""b46de313e11f4ccf7139c3b457f046a4"",""volumeWeight"":1000,""weight"":1000}],""sameDay"":[]}"
16,TRD2022120103503,SAP Logistic,15811,84171,,3,9,"{""destinationLatitude"":0,""destinationLongitude"":0,""isCod"":false,""isUseInsurance"":false,""itemPrice"":500145,""logisticCode"":[""SAP""],""originLatitude"":0,""originLongitude"":0,""originPostalCode"":""15811"",""destinationPostalCode"":""84171"",""packageTypeId"":1,""serviceType"":[],""shipmentType"":2,""weight"":1000,""width"":5,""height"":2,""length"":2}","{""cargo"":[{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/sap-express.png"",""logisticName"":""SAP Logistic"",""maxDuration"":15,""minDuration"":9,""price"":190000,""rateCode"":""DRGREG"",""rateName"":""Kargo Darat"",""signedKey"":""3b73f371885cad833476e6f87051ab18"",""volumeWeight"":1000,""weight"":1000}],""express"":[],""instant"":[],""reguler"":[{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/sap-express.png"",""logisticName"":""SAP Logistic"",""maxDuration"":9,""minDuration"":3,""price"":60000,""rateCode"":""UDRREG"",""rateName"":""Regular"",""signedKey"":""f079d58a3fe3053c7f8ef55f5c6096d3"",""volumeWeight"":1000,""weight"":1000}],""sameDay"":[]}"
17,TRD2022120103508,SAP Logistic,15811,69456,,2,5,"{""destinationLatitude"":0,""destinationLongitude"":0,""isCod"":false,""isUseInsurance"":false,""itemPrice"":500145,""logisticCode"":[""SAP""],""originLatitude"":0,""originLongitude"":0,""originPostalCode"":""15811"",""destinationPostalCode"":""69456"",""packageTypeId"":1,""serviceType"":[],""shipmentType"":2,""weight"":1000,""width"":5,""height"":2,""length"":2}","{""cargo"":[{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/sap-express.png"",""logisticName"":""SAP Logistic"",""maxDuration"":7,""minDuration"":4,""price"":57500,""rateCode"":""DRGREG"",""rateName"":""Kargo Darat"",""signedKey"":""f51aa9a673c14f58fcd788cd64a8ec50"",""volumeWeight"":1000,""weight"":1000}],""express"":[],""instant"":[],""reguler"":[{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/sap-express.png"",""logisticName"":""SAP Logistic"",""maxDuration"":5,""minDuration"":2,""price"":31000,""rateCode"":""UDRREG"",""rateName"":""Regular"",""signedKey"":""27c0775dd68320d10267cc9f2eda58ca"",""volumeWeight"":1000,""weight"":1000}],""sameDay"":[]}"
18,TRD2022120103512,SAP Logistic,15811,65179,,2,5,"{""destinationLatitude"":0,""destinationLongitude"":0,""isCod"":false,""isUseInsurance"":false,""itemPrice"":500145,""logisticCode"":[""SAP""],""originLatitude"":0,""originLongitude"":0,""originPostalCode"":""15811"",""destinationPostalCode"":""65179"",""packageTypeId"":1,""serviceType"":[],""shipmentType"":2,""weight"":1000,""width"":5,""height"":2,""length"":2}","{""cargo"":[{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/sap-express.png"",""logisticName"":""SAP Logistic"",""maxDuration"":7,""minDuration"":4,""price"":57500,""rateCode"":""DRGREG"",""rateName"":""Kargo Darat"",""signedKey"":""0c989ee36c28565c9d87c410300a1cee"",""volumeWeight"":1000,""weight"":1000}],""express"":[],""instant"":[],""reguler"":[{""durationType"":2,""insurancePrice"":0,""isAvailablePickupToday"":true,""logisticLogoUrl"":""https://everpro.s3-ap-southeast-1.amazonaws.com/logistic/logo/sap-express.png"",""logisticName"":""SAP Logistic"",""maxDuration"":5,""minDuration"":2,""price"":34000,""rateCode"":""UDRREG"",""rateName"":""Regular"",""signedKey"":""57f9a0f2a74e309c7b7dbc819ffae508"",""volumeWeight"":1000,""weight"":1000}],""sameDay"":[]}"
